GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Avro,org.apache.avro,Schema.LongSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,LogicalTypes.TimestampMillis,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,SchemaCompatibility.ReaderWriterCompatibilityChecker,692,0,81,0,128,0,60,0,10,0
Apache Avro,org.apache.avro,Schema.MapSchema,59,10,10,0,14,4,8,2,3,2
Apache Avro,org.apache.avro,Resolver,342,0,57,0,61,0,39,0,5,0
Apache Avro,org.apache.avro,SchemaBuilder.GenericDefault,22,0,0,0,6,0,3,0,3,0
Apache Avro,org.apache.avro,LogicalTypes.TimeMillis,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,SchemaBuilder.UnionBuilder,22,0,0,0,5,0,3,0,3,0
Apache Avro,org.apache.avro,AvroMissingFieldException,48,0,2,0,11,0,4,0,3,0
Apache Avro,org.apache.avro,SchemaBuilderException,8,0,0,0,4,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaBuilder.PropBuilder,67,0,8,0,15,0,10,0,6,0
Apache Avro,org.apache.avro,SchemaBuilder.FixedDefault,19,0,0,0,6,0,5,0,5,0
Apache Avro,org.apache.avro,SchemaBuilder.PrimitiveBuilder,32,0,2,0,9,0,3,0,2,0
Apache Avro,org.apache.avro,SchemaBuilder.RecordBuilder,40,0,0,0,7,0,4,0,4,0
Apache Avro,org.apache.avro,NameValidator.Result,4,12,1,1,1,4,2,2,1,2
Apache Avro,org.apache.avro,SchemaBuilder.NullableCompletion,24,0,0,0,5,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaBuilder.DoubleBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,SchemaBuilder.EnumDefault,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,Schema.Field.Order,0,32,0,0,0,5,0,2,0,2
Apache Avro,org.apache.avro,Schema.FixedSchema,79,16,16,0,19,5,11,2,3,2
Apache Avro,org.apache.avro,Schema.SerializableSchema,9,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro,AvroRuntimeException,4,9,0,0,2,4,1,2,1,2
Apache Avro,org.apache.avro,SchemaBuilder.UnionFieldTypeBuilder,204,0,0,0,26,0,23,0,23,0
Apache Avro,org.apache.avro,ParseContext.new SchemaParser.ParseResult() {...},34,0,2,0,3,0,4,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.NullableCompletionWrapper,5,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaNormalization,329,0,30,0,64,0,22,0,6,0
Apache Avro,org.apache.avro,InvalidNumberEncodingException,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaBuilder.NestedCompletion,23,0,0,0,7,0,2,0,2,0
Apache Avro,org.apache.avro,LogicalType,43,27,4,0,9,4,5,2,3,2
Apache Avro,org.apache.avro,Schema.SeenPair,21,17,6,0,3,5,4,2,1,2
Apache Avro,org.apache.avro,SchemaBuilder.DoubleDefault,11,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,LogicalTypes.Date,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,Resolver.Action,31,0,2,0,10,0,2,0,1,0
Apache Avro,org.apache.avro,SchemaBuilder.NamespacedBuilder,43,0,2,0,13,0,6,0,5,0
Apache Avro,org.apache.avro,NameValidator.new NameValidator() {...},0,3,0,0,0,1,0,1,0,1
Apache Avro,org.apache.avro,NameValidator.new NameValidator() {...},25,36,6,8,4,10,5,4,0,2
Apache Avro,org.apache.avro,NameValidator.new NameValidator() {...},90,3,28,0,15,1,17,1,3,1
Apache Avro,org.apache.avro,SchemaBuilder.FixedBuilder,33,0,0,0,7,0,4,0,4,0
Apache Avro,org.apache.avro,Conversions.BigDecimalConversion,89,0,4,0,25,0,8,0,6,0
Apache Avro,org.apache.avro,SchemaBuilder.NullDefault,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.LongBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,LogicalTypes.BigDecimal,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,LogicalTypes.Uuid,30,4,8,0,6,2,5,1,1,1
Apache Avro,org.apache.avro,Schema.FloatSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,Resolver.ReaderUnion,232,0,54,0,57,0,33,0,4,0
Apache Avro,org.apache.avro,SchemaBuilder.OptionalCompletion,25,0,0,0,5,0,2,0,2,0
Apache Avro,org.apache.avro,LogicalTypes.Decimal,243,0,34,0,54,0,28,0,11,0
Apache Avro,org.apache.avro,SchemaBuilder.UnionAccumulator,31,0,0,0,8,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.NamedBuilder,87,0,8,0,19,0,12,0,8,0
Apache Avro,org.apache.avro,SchemaCompatibility,151,0,16,0,31,0,15,0,6,0
Apache Avro,org.apache.avro,SchemaBuilder.FieldBuilder,117,0,2,0,28,0,15,0,14,0
Apache Avro,org.apache.avro,LogicalTypes.LocalTimestampMicros,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,ValidateCanRead,7,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaCompatibility.SchemaCompatibilityType,21,0,0,0,3,0,1,0,1,0
Apache Avro,org.apache.avro,SchemaNormalization.FP64,38,0,4,0,8,0,3,0,1,0
Apache Avro,org.apache.avro,LogicalTypes.LocalTimestampMillis,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,Schema.UnionSchema,75,109,13,9,13,22,10,11,3,7
Apache Avro,org.apache.avro,SchemaBuilder.ArrayDefault,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.BaseTypeBuilder,157,0,0,0,30,0,27,0,27,0
Apache Avro,org.apache.avro,CanonicalSchemaFormatterFactory,8,0,0,0,3,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaFormatterFactoryConstants,10,0,0,0,3,0,2,0,2,0
Apache Avro,org.apache.avro,Resolver.ErrorAction.ErrorType,33,0,0,0,6,0,1,0,1,0
Apache Avro,org.apache.avro,LogicalTypes.Duration,17,4,4,0,4,2,3,1,1,1
Apache Avro,org.apache.avro,NameValidator,2,18,0,0,1,4,1,1,1,1
Apache Avro,org.apache.avro,Schema.DoubleSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,JsonSchemaParser,79,0,4,0,17,0,6,0,4,0
Apache Avro,org.apache.avro,SchemaBuilder.StringDefault,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,Schema.RecordSchema,169,230,32,22,46,53,23,15,2,9
Apache Avro,org.apache.avro,Schema.Field.new Accessor.FieldAccessor() {...},23,3,0,0,3,1,3,1,3,1
Apache Avro,org.apache.avro,SchemaCompatibility.ReaderWriter,54,0,6,0,10,0,7,0,4,0
Apache Avro,org.apache.avro,Schema.BytesSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,LogicalTypes.TimestampNanos,13,4,2,0,4,2,2,1,1,1
Apache Avro,org.apache.avro,Conversions.DecimalConversion,160,0,8,0,37,0,13,0,9,0
Apache Avro,org.apache.avro,Resolver.Promote,78,0,17,0,21,0,13,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.FieldTypeBuilder,31,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,SchemaFormatterCache,7,0,0,0,2,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaBuilder.RecordDefault,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro,SchemaBuilder.UnionCompletion,31,0,0,0,8,0,2,0,2,0
Apache Avro,org.apache.avro,SchemaBuilder.BooleanBuilder,17,0,0,0,5,0,4,0,4,0
Apache Avro,org.apache.avro,Resolver.WriterUnion,70,0,6,0,12,0,5,0,2,0
Apache Avro,org.apache.avro,Conversions,294,0,42,0,46,0,35,0,3,0
Apache Avro,org.apache.avro,SchemaCompatibility.Incompatibility,267,0,44,0,57,0,31,0,9,0
Apache Avro,org.apache.avro,Schema.NullSchema,0,4,0,0,0,2,0,1,0,1
Apache Avro,org.apache.avro,Resolver.ErrorAction,65,0,9,0,13,0,7,0,2,0
Apache Avro,org.apache.avro,JsonSchemaFormatterFactory,31,0,4,0,7,0,5,0,3,0
Apache Avro,org.apache.avro,Schema.Names,94,0,10,0,24,0,13,0,8,0
Apache Avro,org.apache.avro,Conversions.DurationConversion,72,0,0,0,15,0,6,0,6,0
Apache Avro,org.apache.avro.message,MessageDecoder.BaseDecoder,52,0,0,0,14,0,7,0,7,0
Apache Avro,org.apache.avro.message,BinaryMessageEncoder,40,0,0,0,9,0,5,0,5,0
Apache Avro,org.apache.avro.message,RawMessageEncoder,62,0,2,0,19,0,6,0,5,0
Apache Avro,org.apache.avro.message,RawMessageEncoder.BufferOutputStream,14,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro.message,MissingSchemaException,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro.message,SchemaStore.Cache,26,0,0,0,6,0,3,0,3,0
Apache Avro,org.apache.avro.message,BinaryMessageDecoder,211,0,22,0,41,0,20,0,9,0
Apache Avro,org.apache.avro.message,RawMessageDecoder,43,0,0,0,11,0,4,0,4,0
Apache Avro,org.apache.avro.message,BinaryMessageEncoder.V1MessageEncoder,53,0,0,0,13,0,3,0,3,0
Apache Avro,org.apache.avro.message,BadHeaderException,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro.util,ClassUtils,79,0,20,0,24,0,14,0,4,0
Apache Avro,org.apache.avro.util,ByteBufferInputStream,156,0,24,0,44,0,18,0,6,0
Apache Avro,org.apache.avro.util,RandomData.new Iterator() {...},44,0,2,0,6,0,5,0,4,0
Apache Avro,org.apache.avro.util,SchemaResolver.ResolvingVisitor,76,242,9,18,12,51,12,15,4,8
Apache Avro,org.apache.avro.util,UtfTextUtils,308,0,67,0,71,0,46,0,11,0
Apache Avro,org.apache.avro.util,SchemaVisitor.SchemaVisitorAction,0,27,0,0,0,5,0,1,0,1
Apache Avro,org.apache.avro.util,RandomData,473,0,39,0,87,0,42,0,16,0
Apache Avro,org.apache.avro.util,WeakIdentityHashMap,199,0,8,0,51,0,20,0,16,0
Apache Avro,org.apache.avro.util,ReusableByteBufferInputStream,110,0,8,0,27,0,13,0,9,0
Apache Avro,org.apache.avro.util,ClassSecurityValidator.Builder,29,0,0,0,7,0,5,0,5,0
Apache Avro,org.apache.avro.util,WeakIdentityHashMap.IdentityWeakReference,38,0,6,0,11,0,6,0,3,0
Apache Avro,org.apache.avro.util,SchemaResolver.IsResolvedSchemaVisitor,47,0,10,0,13,0,10,0,5,0
Apache Avro,org.apache.avro.util,Schemas,103,134,20,12,22,34,18,9,1,5
Apache Avro,org.apache.avro.util,MapEntry,14,9,0,0,5,4,3,1,3,1
Apache Avro,org.apache.avro.util,SchemaResolver,20,52,7,7,4,9,7,5,1,4
Apache Avro,org.apache.avro.util,MapUtil,17,0,2,0,4,0,2,0,1,0
Apache Avro,org.apache.avro.util,WeakIdentityHashMap.new Map.Entry() {...},22,0,0,0,4,0,4,0,4,0
Apache Avro,org.apache.avro.util,ClassSecurityValidator,98,0,6,0,20,0,11,0,8,0
Apache Avro,org.apache.avro.util,ClassSecurityValidator.SystemPropertiesPredicate,89,0,14,0,18,0,13,0,6,0
Apache Avro,org.apache.avro.util,TimePeriod,699,0,93,0,131,0,72,0,19,0
Apache Avro,org.apache.avro.util,ClassSecurityValidator.ClassSecurityPredicate,6,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro.util,NonCopyingByteArrayOutputStream,98,0,4,0,25,0,11,0,9,0
Apache Avro,org.apache.avro.util,Utf8,406,0,44,0,105,0,44,0,22,0
Apache Avro,org.apache.avro.util,ReusableByteArrayInputStream,23,0,0,0,7,0,2,0,2,0
Apache Avro,org.apache.avro.util,SchemaUtil,60,0,10,0,14,0,8,0,2,0
Apache Avro,org.apache.avro.util,ByteBufferOutputStream,193,0,12,0,47,0,15,0,9,0
Apache Avro,org.apache.avro.file,DataFileReader,364,0,40,0,88,0,35,0,15,0
Apache Avro,org.apache.avro.file,XZCodec,91,0,8,0,22,0,11,0,7,0
Apache Avro,org.apache.avro.file,SeekableFileInput,22,0,0,0,8,0,5,0,5,0
Apache Avro,org.apache.avro.file,XZCodec.Option,12,0,0,0,4,0,2,0,2,0
Apache Avro,org.apache.avro.file,DataFileReader12,478,0,44,0,91,0,39,0,17,0
Apache Avro,org.apache.avro.file,NullCodec,36,0,6,0,10,0,10,0,7,0
Apache Avro,org.apache.avro.file,DataFileReader.SeekableInputStream,110,0,4,0,26,0,12,0,10,0
Apache Avro,org.apache.avro.file,DataFileStream,540,0,50,0,126,0,50,0,25,0
Apache Avro,org.apache.avro.file,BZip2Codec,92,0,8,0,18,0,10,0,6,0
Apache Avro,org.apache.avro.file,DataFileWriter.BufferedFileOutputStream,36,0,0,0,10,0,4,0,4,0
Apache Avro,org.apache.avro.file,SnappyCodec.Option,10,0,0,0,4,0,3,0,3,0
Apache Avro,org.apache.avro.file,ZstandardLoader,45,0,4,0,9,0,5,0,3,0
Apache Avro,org.apache.avro.file,SyncableFileOutputStream,26,0,0,0,12,0,6,0,6,0
Apache Avro,org.apache.avro.file,SnappyCodec,140,0,8,0,27,0,10,0,6,0
Apache Avro,org.apache.avro.file,DeflateCodec,129,0,12,0,29,0,15,0,9,0
Apache Avro,org.apache.avro.file,Codec,12,0,0,0,3,0,3,0,3,0
Apache Avro,org.apache.avro.file,BZip2Codec.Option,7,0,0,0,2,0,2,0,2,0
Apache Avro,org.apache.avro.file,ZstandardCodec,88,0,6,0,20,0,10,0,7,0
Apache Avro,org.apache.avro.file,DataFileWriter,633,0,40,0,163,0,55,0,35,0
Apache Avro,org.apache.avro.file,DataFileStream.Header,17,0,0,0,5,0,1,0,1,0
Apache Avro,org.apache.avro.file,CodecFactory,118,0,4,0,30,0,15,0,13,0
Apache Avro,org.apache.avro.file,NullCodec.Option,5,0,0,0,2,0,2,0,2,0
Apache Avro,org.apache.avro.file,DeflateCodec.Option,12,0,0,0,4,0,2,0,2,0
Apache Avro,org.apache.avro.file,DataFileWriter.AppendWriteException,4,0,0,0,2,0,1,0,1,0
Apache Avro,org.apache.avro.file,DataFileConstants,20,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro.file,SeekableByteArrayInput,31,0,4,0,9,0,6,0,4,0
Apache Avro,org.apache.avro.file,ZstandardCodec.Option,22,0,0,0,6,0,2,0,2,0
Apache Avro,org.apache.avro.file,DataFileWriter.BufferedFileOutputStream.PositionFilter,22,0,0,0,6,0,2,0,2,0
Apache Avro,org.apache.avro.file,DataFileStream.DataBlock,112,0,2,0,31,0,8,0,7,0
Apache Avro,org.apache.avro.specific,SpecificData,1501,0,171,0,257,0,140,0,47,0
Apache Avro,org.apache.avro.specific,SpecificDatumWriter,164,0,18,0,46,0,19,0,10,0
Apache Avro,org.apache.avro.specific,SpecificData.new Object() {...},3,0,0,0,1,0,1,0,1,0
Apache Avro,org.apache.avro.specific,SpecificRecordBase,133,0,12,0,30,0,21,0,15,0
Apache Avro,org.apache.avro.specific,SpecificExceptionBase,53,0,8,0,17,0,11,0,7,0
Apache Avro,org.apache.avro.specific,SpecificFixed,63,0,6,0,15,0,11,0,8,0
Apache Avro,org.apache.avro.specific,SpecificErrorBuilderBase,103,0,4,0,35,0,14,0,12,0
Apache Avro,org.apache.avro.specific,SpecificRecordBuilderBase,25,0,0,0,8,0,4,0,4,0
Apache Avro,org.apache.avro.specific,ExternalizableOutput,31,0,0,0,13,0,6,0,6,0
Apache Avro,org.apache.avro.specific,SpecificDatumReader,223,0,27,0,60,0,29,0,15,0
Apache Avro,org.apache.avro.specific,ExternalizableInput,35,0,0,0,10,0,7,0,7,0
Apache Avro,org.apache.avro.path,ArrayPositionPredicate,10,0,0,0,4,0,2,0,2,0
